value,label
50160540042031,Elizabeth Blackwell Elem School
50160540042032,Lincoln Prairie School
50160570021004,Lincoln Middle School
50160570022002,Fairview Elem School
50160570022005,Lions Park Elem School
50160570022008,Westbrook Early Learning Cntr
50160590041010,Grove Jr High School
50160590041012,Holmes Jr High School
50160590041016,Friendship Jr High School
50160590042001,Brentwood Elem School
50160590042002,Adm Richard E Byrd Elem School
50160590042003,Clearmont Elem School
50160590042006,Devonshire School
50160590042008,Forest View Elem School
50160590042009,Robert Frost Elem School
50160590042014,John Jay Elem School
50160590042016,Juliette Low Elem School
50160590042018,Rupley Elem School
50160590042019,Salt Creek Elem School
50160590042020,Ridge Family Center for Learning
50160620041001,Algonquin Middle School
50160620041003,Chippewa Middle School
50160620042001,Iroquois Community School
50160620042002,Central Elem School
50160620042004,Cumberland Elem School
50160620042005,Forest Elem School
50160620042008,North Elementary School
50160620042009,Orchard Place Elem School
50160620042010,Plainfield Elem School
50160620042011,South Elem School
50160620042012,Terrace Elem School
50160630021003,Gemini Jr High School
50160630022006,V H Nelson Elem School
50160630022008,Stevenson School
50160630022009,Mark Twain Elem School
50160630022010,Washington Elem School
50160630022011,Melzer School
50160630022012,Apollo Elem School
50160640041006,Emerson Middle School
50160640041007,Lincoln Middle School
50160640042001,George B Carpenter Elem School
50160640042004,Eugene Field Elem School
50160640042005,Franklin Elementary School
50160640042011,Theodore Roosevelt Elem School
50160640042012,George Washington Elem School
50160650041002,Chute Middle School
50160650041007,Haven Middle School
50160650041012,Nichols Middle School
50160650042004,Dawes Elementary School
50160650042005,Dewey Elem School
50160650042009,Lincoln Elem School
50160650042010,Lincolnwood Elem School
50160650042014,Oakton Elem School
50160650042015,Orrington Elem School
50160650042019,Walker Elem School
50160650042020,Washington Elem School
50160650042021,Willard Elem School
50160650042022,Dr ML King Jr Literary&Fine Arts
50160650042023,Kingsley Elementary School
50160650042024,Dr Bessie Rhodes-Global Studies
50160670021002,Golf Middle School
50160670022003,Hynes Elem School
50160680021002,Old Orchard Jr High School
50160680022001,Devonshire Elem School
50160680022004,Jane Stenson School
50160680022005,Highland Elementary School
50160690021003,Lincoln Jr High School
50160690022001,Thomas Edison Elem School
50160690022004,Madison Elem School
50160700022003,Park View Elem School
50160710022001,Clarence E Culver School
50160720022002,Fairview South Elementary School
50160730022001,East Prairie Elem School
50160735021003,Oliver McCracken Middle School
50160735022002,John Middleton Elem School
50160735022003,Elizabeth Meyer School
50160740021001,Lincoln Hall Middle School
50160740022003,Rutledge Hall Elem School
50160740022004,Todd Hall Elem School
50162020170001,Evanston Twp High School
50162030170001,New Trier Township H S Winnetka
60160790022001,Pennoyer Elem School
50162030170002,New Trier Township H S Northfield
60160800022001,J Giles Elem School
50162070170001,Maine East High School
60160800022002,J Leigh Elem School
50162070170003,Maine South High School
60160810021001,Lincoln Middle School
50162070170004,Maine West High School
60160810022001,John F Kennedy Elem School
50162110170001,J B Conant High School
60160810022003,Washington Elem School
50162110170002,Wm Fremd High School
60160830021003,Mannheim Middle School
50162110170003,Palatine High School
60160830022002,Scott Elementary School
50162110170004,Schaumburg High School
60160830022004,Roy Elem School
50162110170006,Hoffman Estates High School
60160830022005,Westdale Elem School
50162140170002,Elk Grove High School
60160840021002,Hester Jr High School
50162140170004,John Hersey High School
60160840022003,North Elem School
