schl_name,dist_name,school_rank_composite,school_rank_ela,school_rank_math,gr11_schl_ttl_scale_score_sat_2017_composite,gr11_schl_avg_scale_score_in_ela_sat_2017_ela,gr11_schl_avg_scale_score_in_math_sat_2017_math,gr11_dist_ttl_scale_score_sat_2017_composite,gr11_dist_avg_scale_score_in_ela_sat_2017_ela,gr11_dist_avg_scale_score_in_math_sat_2017_math,district_rank_composite,district_rank_ela,district_rank_math
Mercer County High School,Mercer County School District 404,348,335,361,981.9,497.4,484.5,981.9,497.4,484.5,307,298,326
Rochelle Twp High School,Rochelle Twp HSD 212,351,383,322,981.7,492.2,489.5,980.6,491.8,488.8,315,349,288
Amboy High School,Amboy CUSD 272,352,391,314,981.6,491.4,490.2,981.6,491.4,490.2,308,352,280
Milledgeville High School,Chadwick-Milledgeville CUSD 399,353,354,347,981.4,495,486.4,981.4,495,486.4,309,320,307
Duquoin High School,Duquoin CUSD 300,354,329,369,981.1,497.8,483.3,979.1,497.1,482,329,300,340
Goreville High School,Goreville CUD 1,355,365,339,981,493.8,487.1,981,493.8,487.1,310,327,299
Mulberry Grove Sr High School,Mulberry Grove CUSD 1,356,442,280,980.9,484.3,496.5,980.9,484.3,496.5,313,405,253
Plano High School,Plano CUSD 88,357,295,405,980.5,502.4,478,980.5,502.4,478,316,266,367
New Athens High School,New Athens CUSD 60,358,242,440,980.4,509,471.5,980.4,509,471.5,318,217,555
Belleville High School-West,Belleville Twp HSD 201,358,343,366,980.4,496.5,483.9,981,497.1,484,310,300,330
Dixon High School,Dixon USD 170,360,362,351,980.3,494.2,486.1,980.3,494.2,486.1,319,325,316
Brussels High School,Brussels CUSD 42,361,430,294,980,486,494,980,486,494,320,389,263
Salt Fork High School,Salt Fork CUSD 512,362,318,392,979.7,499.4,480.3,976,498.3,477.7,338,289,368
Windsor Jr & Sr High School,Windsor CUSD 1,363,345,368,979.5,495.9,483.6,979.5,495.9,483.6,321,311,335
Newark Comm High School,Newark CHSD 18,363,334,376,979.5,497.5,482,979.5,497.5,482,321,297,340
Erie High School,Erie CUSD 1,365,295,412,979.2,502.4,476.9,979.2,502.4,476.9,328,266,375
Oregon High School,Oregon CUSD 220,366,398,330,979.1,490.7,488.4,979.1,490.7,488.4,329,359,291
Farmington Central High Sch,Farmington Central CUSD 265,367,389,336,978.9,491.6,487.3,978.9,491.6,487.3,331,351,297
Hillsboro High School,Hillsboro CUSD 3,368,291,425,977.1,502.6,474.6,977.1,502.6,474.6,332,261,386
Stark County High School,Stark County CUSD 100,368,358,374,977.1,494.6,482.5,977.1,494.6,482.5,332,322,339
Hamilton County Jr/Sr High School,Hamilton Co CUSD 10,370,313,408,977,499.9,477.2,977,499.9,477.2,334,279,371
Wethersfield Jr/Sr High School,Wethersfield CUSD 230,371,307,419,976.7,500.9,475.9,976.7,500.9,475.9,335,277,379
Watseka Comm High School,Iroquois County CUSD 9,371,362,374,976.7,494.2,482.5,974,492.3,481.8,345,343,344
Monmouth-Roseville High Sch,Monmouth-Roseville CUSD 238,373,401,344,976.6,489.7,486.8,976.6,489.7,486.8,336,360,303
New Tech High - Zion-Benton East,Zion-Benton Twp HSD 126,374,264,451,976.2,505.9,470.3,949,488,461,579,369,618
United High School,United CUSD 304,375,347,390,976.1,495.7,480.4,976.1,495.7,480.4,337,312,354
Triopia Jr-Sr High School,Triopia CUSD 27,376,452,296,975.9,482.3,493.6,975.9,482.3,493.6,339,568,265
Intrinsic Charter High School,City of Chicago SD 299,377,346,395,975.7,495.8,479.9,956.1,483.7,472.5,406,406,393
Prophetstown High School,Prophetstown-Lyndon-Tampico CUSD3,377,396,359,975.7,490.9,484.9,972.3,489.4,482.8,352,363,338
North Boone High School,North Boone CUSD 200,379,350,394,975.5,495.5,480,975.5,495.5,480,341,316,357
Astoria High School,Astoria CUSD 1,380,309,424,975.2,500.5,474.8,975.2,500.5,474.8,342,278,385
Heritage High School,Heritage CUSD 8,381,284,437,975,503,472,975,503,472,343,256,551
Putnam County High School,Putnam County CUSD 535,382,293,434,974.7,502.5,472.2,974.7,502.5,472.2,344,263,549
Marion High School,Marion CUSD 2,383,332,413,974.5,497.7,476.8,972.6,496.7,475.8,348,307,380
Chester High School,Chester CUSD 139,384,337,410,974.3,497.3,477,971.2,495.6,475.6,355,315,382
Paris Cooperative High School,Paris Cooperative High School,385,383,388,972.9,492.2,480.7,972.9,492.2,480.7,346,345,352
Moline Sr High School,Moline-Coal Valley CUSD 40,385,433,336,972.9,485.6,487.3,961.9,480.5,481.4,390,581,347
Edinburg High School,Edinburg CUSD 4,387,386,390,972.4,492,480.4,972.4,492,480.4,349,348,354
Robinson High School,Robinson CUSD 2,387,395,382,972.4,491.1,481.3,972.4,491.1,481.3,349,356,348
Bradley-Bourbonnais C High School,Bradley Bourbonnais CHSD 307,387,353,409,972.4,495.2,477.1,972.4,495.2,477.1,349,319,372
Addison Trail High School,DuPage HSD 88,390,443,332,971.8,484.2,487.6,1005.4,504.3,501.1,229,245,221
Noble St Chtr-Comer College Prep,City of Chicago SD 299,391,382,403,971.5,492.4,479,956.1,483.7,472.5,406,406,393
Canton High School,Canton Union SD 66,391,454,317,971.5,481.7,489.9,970.8,481.6,489.2,360,571,287
Unity High School,CUSD 4,393,438,351,971.1,485,486.1,971.1,485,486.1,356,394,316
Riverton High School,Riverton CUSD 14,394,423,363,970.9,486.6,484.3,970.9,486.6,484.3,357,382,329
West Carroll High School,West Carroll CUSD 314,395,399,395,970.5,490.6,479.9,966.8,489.5,477.3,376,362,370
Dundee-Crown High School,CUSD 300,395,417,372,970.5,487.3,483.2,1028,518.1,509.9,165,165,178
Red Hill Jr/Sr High School,Red Hill CUSD 10,397,359,420,970,494.3,475.7,970,494.3,475.7,361,323,381
Argo Community High School,Argo CHSD 217,398,464,327,969.8,480.8,489,967.9,479.9,488.1,368,586,292
Norris City-Omaha-Enfield H S,Norris City-Omaha-Enfield CUSD 3,398,333,434,969.8,497.6,472.2,969.8,497.6,472.2,362,296,549
Reavis High School,Reavis Twp HSD 220,400,411,376,969.7,487.7,482,968.7,487.2,481.5,366,377,346
Warren Jr/Sr High School,Warren CUSD 205,401,444,357,968.9,483.4,485.4,968.9,483.4,485.4,363,564,323
Serena High School,Serena CUSD 2,401,455,335,968.9,481.5,487.5,968.9,481.5,487.5,363,572,296
Sangamon Valley High School,Sangamon Valley CUSD 9,401,381,415,968.9,492.6,476.3,968.9,492.6,476.3,363,342,377
Richland County High School,Richland County CUSD 1,404,409,392,968.5,488.2,480.3,968.5,488.2,480.3,367,368,356
Guilford High School,Rockford SD 205,405,355,431,968.3,494.9,473.4,942.9,479,464,601,590,600
Knoxville Sr High School,Knoxville CUSD 202,406,458,347,967.8,481.4,486.4,967.8,481.4,486.4,369,575,307
Quincy Sr High School,Quincy SD 172,407,373,427,967.7,493.3,474.4,967.7,493.3,474.4,370,333,387
Bluffs High School,Scott-Morgan CUSD 2,407,464,341,967.7,480.8,486.9,967.7,480.8,486.9,370,580,301
Woodlawn High School,Woodlawn Unit School District 209,409,396,414,967.4,490.9,476.6,967.4,490.9,476.6,372,358,376
Fieldcrest High School,Fieldcrest CUSD 6,409,424,384,967.4,486.5,480.9,964.7,484.7,480,384,396,357
Oak Lawn Comm High School,Oak Lawn CHSD 229,411,478,318,967.2,477.4,489.8,966.9,477.3,489.6,374,605,283
Kewanee High School,Kewanee CUSD 229,411,427,384,967.2,486.3,480.9,966.2,485.6,480.6,379,392,353
Peoria Heights High School,Peoria Heights CUSD 325,413,261,502,967,506.8,460.3,967,506.8,460.3,373,235,623
Mattoon High School,Mattoon CUSD 2,414,403,406,966.9,489.5,477.4,966.4,489.3,477.1,378,365,372
Edwards County High School,Edwards County CUSD 1,414,455,357,966.9,481.5,485.4,966.9,481.5,485.4,374,572,323
Litchfield Senior High School,Litchfield CUSD 12,416,405,406,966.7,489.4,477.4,966.7,489.4,477.4,377,363,369
H L Richards High Sch(Campus),CHSD 218,417,417,401,966.6,487.3,479.3,947.1,477.7,469.4,586,600,568
Alcott Humanities High School,City of Chicago SD 299,418,453,364,966.3,482,484.2,956.1,483.7,472.5,406,406,393
La Moille High School,La Moille CUSD 303,419,475,340,966.1,479.1,487,966.1,479.1,487,380,589,300
CICS - Northtown  Campus,City of Chicago SD 299,420,352,449,965.9,495.3,470.6,956.1,483.7,472.5,406,406,393
Warrensburg-Latham High School,Warrensburg-Latham CUSD 11,421,329,467,965.1,497.8,467.3,965.1,497.8,467.3,383,294,583
Sesser-Valier High School,Sesser-Valier CUSD 196,422,351,464,964,495.4,468.7,964,495.4,468.7,385,317,577
Senn High School,City of Chicago SD 299,423,403,426,963.9,489.5,474.5,956.1,483.7,472.5,406,406,393
Murphysboro High School,Murphysboro CUSD 186,423,446,389,963.9,483.3,480.6,960.6,482.1,478.5,395,570,364
Joppa Jr & Sr High School,Joppa-Maple Grove UD 38,425,448,384,963.6,482.7,480.9,963.6,482.7,480.9,386,567,349
Bunker Hill High School,Bunker Hill CUSD 8,425,385,441,963.6,492.1,471.4,963.6,492.1,471.4,386,347,556
Collinsville High School,Collinsville CUSD 10,427,417,417,963.3,487.3,476,961.9,486.6,475.3,390,382,383
Crete-Monee High School,Crete Monee CUSD 201U,428,377,456,962.7,493.1,469.6,960.9,492.3,468.6,394,343,578
Flora High School,Flora CUSD 35,429,347,472,962.3,495.7,466.7,962.3,495.7,466.7,388,312,590
Argenta-Oreana High School,Argenta-Oreana CUSD 1,430,387,451,962.1,491.8,470.3,962.1,491.8,470.3,389,349,564
Steeleville High School,Steeleville CUSD 138,431,500,329,961.8,472.9,488.8,961.8,472.9,488.8,392,628,288
Winchester High School,Winchester CUSD 1,432,406,437,961.3,489.3,472,961.3,489.3,472,393,365,551
St Elmo Sr High School,St Elmo CUSD 202,433,389,459,960.6,491.6,469.1,954.8,487,467.9,564,378,580
Hall High School,Hall HSD 502,434,466,398,960.1,480.5,479.6,960.1,480.5,479.6,396,581,360
Limestone Community High School,Limestone CHSD 310,435,433,428,960,485.6,474.3,957.8,484.8,473,401,395,391
Kennedy High School,City of Chicago SD 299,436,415,433,959.7,487.4,472.3,956.1,483.7,472.5,406,406,393
Morrisonville High School,Morrisonville CUSD 1,437,468,399,959.5,480,479.5,959.5,480,479.5,397,585,361
Earlville Jr/Sr High School,Earlville CUSD 9,438,449,416,958.7,482.6,476.2,955.8,481.5,474.3,562,572,389
Jacksonville High School,Jacksonville SD 117,439,400,463,958.6,489.8,468.8,953.5,487.3,466.2,569,376,591
Disney II Magnet HS,City of Chicago SD 299,439,379,474,958.6,492.7,465.9,956.1,483.7,472.5,406,406,393
Joliet Central High School,Joliet Twp HSD 204,441,476,399,958.5,478.9,479.5,970.9,486.5,484.4,357,384,327
Zeigler-Royalton High School,Zeigler-Royalton CUSD 188,442,347,489,958.4,495.7,462.7,958.4,495.7,462.7,398,312,613
North Mac High School,North Mac CUSD 34,443,420,443,957.9,486.9,471,957.9,486.9,471,400,379,558
Rock Falls Township High School,Rock Falls Twp HSD 301,444,412,454,957.8,487.6,470.2,953.4,485.9,467.5,570,390,581
Alton High School,Alton CUSD 11,445,410,455,957.6,487.8,469.8,957.6,487.8,469.8,402,371,566
Urbana High School,Urbana SD 116,446,424,443,957.5,486.5,471,957.5,486.5,471,403,384,558
Northwestern High School,Northwestern CUSD 2,447,482,397,956.9,477.1,479.7,956.9,477.1,479.7,404,607,359
South Central High School,South Central CUD 401,448,391,478,956.7,491.4,465.3,956.7,491.4,465.3,405,352,595
Elverado High School,Elverado CUSD 196,449,440,442,955.7,484.6,471.1,955.7,484.6,471.1,563,398,557
West Leyden High School,Leyden CHSD 212,450,474,423,954.2,479.2,475,972.3,484.4,487.9,352,399,293
Williamsfield High School,Williamsfield CUSD 210,451,369,507,952.8,493.6,459.2,952.8,493.6,459.2,571,329,629
Okaw Valley High School,Okaw Valley CUSD 302,452,376,506,952.6,493.2,459.4,952.6,493.2,459.4,572,336,628
Illini West High School,Illini West H S Dist 307,453,447,456,952.4,482.8,469.6,952.4,482.8,469.6,573,566,567
Johnston City High School,Johnston City CUSD 1,454,449,459,951.7,482.6,469.1,943.2,478.8,464.4,600,595,597
Rickover Naval Academy High Schl,City of Chicago SD 299,455,436,477,950.6,485.2,465.4,956.1,483.7,472.5,406,406,393
Pleasant Hill High School,Pleasant Hill CUSD 3,456,515,380,950.5,468.6,481.8,950.5,468.6,481.8,574,639,344
Centralia High School,Centralia HSD 200,456,472,443,950.5,479.5,471,950.5,479.5,471,574,588,558
Crab Orchard High School,Crab Orchard CUSD 3,458,444,473,949.5,483.4,466.1,949.5,483.4,466.1,576,564,592
Chicago Academy High School,City of Chicago SD 299,459,497,421,949.4,474.2,475.2,956.1,483.7,472.5,406,406,393
Abingdon-Avon High Sch,Abingdon-Avon CUSD 276,459,414,493,949.4,487.5,461.9,949.4,487.5,461.9,577,375,615
Havana High School,Havana CUSD 126,461,491,429,949.1,475.3,473.9,949.1,475.3,473.9,578,622,390
Carver Military Academy HS,City of Chicago SD 299,462,469,458,949,479.7,469.2,956.1,483.7,472.5,406,406,393
Crane Medical Prep HS,City of Chicago SD 299,463,455,467,948.8,481.5,467.3,956.1,483.7,472.5,406,406,393
Horizon Science Acad-McKinley Pk,Horizon Science Acad-McKinley Pk,464,485,439,948.4,476.7,471.6,948.4,476.7,471.6,581,610,554
East Peoria High School,East Peoria CHSD 309,465,478,448,948.2,477.4,470.7,948.2,477.4,470.7,582,604,562
Lowpoint-Washburn Jr Sr High Sch,Lowpoint-Washburn CUSD 21,466,428,495,947.9,486.1,461.8,947.9,486.1,461.8,583,387,617
Central High School,Central CUSD 3,467,467,466,947.8,480.3,467.5,947.8,480.3,467.5,584,584,581
Benton Cons High School,Benton Cons HSD 103,468,484,450,947.2,476.8,470.4,947.2,476.8,470.4,585,609,563
Infinity Math  Science & Tech HS,City of Chicago SD 299,469,563,341,946.9,460,486.9,956.1,483.7,472.5,406,406,393
Henry-Senachwine High School,Henry-Senachwine CUSD 5,469,470,467,946.9,479.6,467.3,946.9,479.6,467.3,589,587,583
Zion-Benton Twnshp Hi Sch,Zion-Benton Twp HSD 126,471,430,504,946,486,460,949,488,461,579,369,618
Southeastern Jr/Sr High School,Southeastern CUSD 337,472,529,401,945.9,466.6,479.3,940,464.7,475.3,611,653,383
Arcola High School,Arcola CUSD 306,473,422,509,945.6,486.7,459,945.6,486.7,459,590,381,630
Bushnell-Prairie City High Sch,Bushnell Prairie City CUSD 170,473,458,482,945.6,481.4,464.2,945.6,481.4,464.2,590,575,599
Lake View High School,City of Chicago SD 299,475,498,434,945.5,473.3,472.2,956.1,483.7,472.5,406,406,393
West Aurora High School,Aurora West USD 129,476,460,485,945,481.3,463.7,945,481.3,463.7,596,577,607
Galesburg High School,Galesburg CUSD 205,477,481,467,944.6,477.3,467.3,944.6,477.3,467.3,597,605,583
Midwest Central High School,Midwest Central CUSD 191,477,428,514,944.6,486.1,458.6,944.6,486.1,458.6,597,387,635
Elgin High School,SD U-46,479,501,446,943.4,472.6,470.9,979.5,493.2,486.2,321,336,310
Hartsburg-Emden Jr-Sr High School,Hartsburg Emden CUSD 21,480,525,417,943.3,467.3,476,943.3,467.3,476,599,646,378
Hiawatha High School,Hiawatha CUSD 426,481,435,520,942.4,485.4,457,942.4,485.4,457,606,393,642
Marine Leadership Academy - Ames,City of Chicago SD 299,482,559,382,941.7,460.4,481.3,956.1,483.7,472.5,406,406,393
Woodland High School,Woodland CUSD 5,483,505,451,941.6,471.3,470.3,941.6,471.3,470.3,607,630,564
Auburn High School,Auburn CUSD 10,484,437,526,941.3,485.1,456.1,939.6,483.6,456,612,563,646
Warsaw Sr High School,Warsaw CUSD 316,485,432,533,940.7,485.8,454.9,940.7,485.8,454.9,608,391,650
Gallatin High School,Gallatin CUSD 7,486,478,487,940.5,477.4,463.1,935.3,475.3,460,621,622,624
Clinton High School,Clinton CUSD 15,487,490,481,940.3,476,464.3,940.3,476,464.3,609,617,598
Harrisburg High School,Harrisburg CUSD 3,488,439,530,940.1,484.7,455.4,940.1,484.7,455.4,610,396,648
Martinsville Jr- Sr High School,Martinsville CUSD 3C,489,477,501,938.3,477.6,460.7,938.3,477.6,460.7,617,603,622
Noble St Chtr-Baker Campus,City of Chicago SD 299,490,486,496,938,476.6,461.4,956.1,483.7,472.5,406,406,393
Belvidere High School,Belvidere CUSD 100,491,496,486,937.8,474.3,463.5,966.1,487.7,478.5,380,372,364
Roxana Sr High School,Roxana CUSD 1,491,512,465,937.8,469.7,468,937.8,469.7,468,618,637,579
EPIC Academy High School,City of Chicago SD 299,493,473,516,937.6,479.4,458.3,956.1,483.7,472.5,406,406,393
Trico Senior High School,Trico CUSD 176,494,517,459,937.5,468.4,469.1,937.5,468.4,469.1,619,641,575
Noble St Chtr-Rowe-Clark MS Acad,City of Chicago SD 299,495,462,528,936.7,480.9,455.8,956.1,483.7,472.5,406,406,393
Leland High School,Leland CUSD 1,496,510,474,935.9,470,465.9,935.9,470,465.9,620,635,593
Hardin County High School,Hardin County CUSD 1,497,492,505,934.9,475.1,459.8,934.9,475.1,459.8,622,624,626
South Fork Jr Sr High School,South Fork SD 14,498,545,447,934.6,463.8,470.8,934.6,463.8,470.8,623,656,561
Dupo High School,Dupo CUSD 196,498,503,489,934.6,471.9,462.7,934.6,471.9,462.7,623,629,613
Waverly Jr/Sr  High School,Waverly CUSD 6,500,487,517,934.5,476.5,458,934.5,476.5,458,628,611,639
Mount Vernon High School,Mt Vernon Twp HSD 201,500,507,483,934.5,470.7,463.8,934.5,470.7,463.8,628,633,605
South Shore Intl Col Prep HS,City of Chicago SD 299,502,449,545,933.9,482.6,451.2,956.1,483.7,472.5,406,406,393
Grayville Jr Sr High School,Grayville CUSD 1,502,493,510,933.9,475,458.9,933.9,475,458.9,630,625,632
St Anne Comm High School,St Anne CHSD 302,504,502,496,933.6,472.1,461.4,930.4,470.9,459.5,637,632,627
Webber High School,Bluford Unit School District 318,505,523,476,933.3,467.8,465.6,933.3,467.8,465.6,631,645,594
Christopher High,Christopher USD 99,506,510,488,932.9,470,462.9,932.9,470,462.9,632,635,612
Hoopeston Area High School,Hoopeston Area CUSD 11,506,521,480,932.9,468,464.8,932.9,468,464.8,632,644,596
Delavan High School,Delavan CUSD 703,508,515,483,932.4,468.6,463.8,932.4,468.6,463.8,634,639,605
Flanagan-Cornell High School,Flanagan-Cornell Dist 74,509,488,529,931.9,476.2,455.7,931.9,476.2,455.7,635,615,647
Rockford East High School,Rockford SD 205,510,499,515,931.6,473.2,458.4,942.9,479,464,601,590,600
Georgetown-Ridge Farm High School,Georgetown-Ridge Farm CUD 4,511,509,499,931.1,470.3,460.8,931.1,470.3,460.8,636,634,620
Amundsen High School,City of Chicago SD 299,512,519,489,931,468.3,462.7,956.1,483.7,472.5,406,406,393
Chrisman High School,Edgar County CUD 6,513,461,553,930,481,449,930,481,449,638,578,663
Streator Twp High School,Streator Twp HSD 40,514,488,539,929,476.2,452.8,929,476.2,452.8,639,615,658
A-C Central High School,A-C Central CUSD 262,515,527,493,928.9,466.9,461.9,928.9,466.9,461.9,640,647,615
Marissa Jr & Sr High School,Marissa CUSD 40,516,581,432,927.8,454.9,472.9,927.8,454.9,472.9,641,681,392
Vandalia Community High School,Vandalia CUSD 203,517,517,512,927.2,468.4,458.8,927.2,468.4,458.8,642,641,634
Fairfield Comm High School,Fairfield Comm H S Dist 225,518,529,503,926.8,466.6,460.2,924.5,465.4,459,646,650,630
Carmi-White County High School,Carmi-White County CUSD 5,519,495,541,926.4,474.4,452,926.1,474.9,451.2,643,627,660
Westville High School,Westville CUSD 2,520,520,519,925.5,468.2,457.3,925.5,468.2,457.3,644,643,641
Pope Co High School,Pope Co CUD 1,521,506,536,924.8,471.2,453.6,924.8,471.2,453.6,645,631,655
Freeport High School,Freeport SD 145,522,462,572,924.4,480.9,443.4,924.4,480.9,443.4,647,579,673
Cowden-Herrick Jr/Sr High School,Cowden-Herrick CUSD 3A,523,553,492,924.3,461.7,462.6,915.4,457.9,457.5,657,675,640
Prosser Career Academy HS,City of Chicago SD 299,524,514,531,924.2,469,455.2,956.1,483.7,472.5,406,406,393
Shiloh High School,Shiloh CUSD 1,525,533,518,923.5,466.1,457.4,917.2,462.2,455,654,660,649
Noble St Chtr-Johnson Colg Prep,City of Chicago SD 299,526,470,569,923.3,479.6,443.7,956.1,483.7,472.5,406,406,393
Thornton Fractnl So High School,Thornton Fractional Twp HSD 215,527,524,531,922.7,467.6,455.2,905,458.5,446.5,671,672,666
East High School,Aurora East USD 131,528,558,499,921.6,460.8,460.8,921.6,460.8,460.8,648,662,620
Morgan Park High School,City of Chicago SD 299,529,536,523,921.5,465.1,456.4,956.1,483.7,472.5,406,406,393
Streamwood High School,SD U-46,529,550,513,921.5,462.8,458.7,979.5,493.2,486.2,321,336,310
Noble St Chtr-Hansberry Prep Slvr,City of Chicago SD 299,531,507,549,920.8,470.7,450.1,956.1,483.7,472.5,406,406,393
Eisenhower High School,Decatur SD 61,532,543,522,920.7,464.2,456.6,919.5,465.2,454.3,650,651,653
Griggsville-Perry High School,Griggsville-Perry CUSD 4,533,441,599,920,484.4,435.6,913.5,480.4,433.1,660,583,694
Brownstown High School,Brownstown CUSD 201,533,545,525,920,463.8,456.2,920,463.8,456.2,649,656,644
Springfield Southeast High Sch,Springfield SD 186,535,525,542,919.2,467.3,451.9,953.7,484.4,469.4,565,399,568
Shawnee High School,Shawnee CUSD 84,536,563,510,918.9,460,458.9,918.9,460,458.9,652,665,632
South Beloit Sr High School,County of Winnebago SD 320,537,544,535,918.8,464,454.8,918.8,464,454.8,653,655,652
MacArthur High School,Decatur SD 61,538,532,544,918,466.4,451.6,919.5,465.2,454.3,650,651,653
Mather High School,City of Chicago SD 299,539,592,479,917.5,452.5,465,956.1,483.7,472.5,406,406,393
Franklin Jr/Sr High School,Franklin CUSD 1,540,601,462,916.8,447.9,468.9,916.8,447.9,468.9,655,691,576
Air Force Acad High School,City of Chicago SD 299,541,582,496,916.2,454.8,461.4,956.1,483.7,472.5,406,406,393
Illini Central High School,Illini Central CUSD 189,542,483,588,915.7,477,438.8,915.7,477,438.8,656,608,685
Acero Chtr Sch Netwrk- Victoria,City of Chicago SD 299,543,535,547,915.4,465.2,450.3,956.1,483.7,472.5,406,406,393
Lawrenceville High School,Lawrence County CUD 20,544,547,542,915.3,463.3,451.9,915.3,463.3,451.9,658,658,659
Noble St Chtr-Butler - Crimson,City of Chicago SD 299,545,537,549,915,465,450.1,956.1,483.7,472.5,406,406,393
United Twp High School,United Twp HSD 30,546,573,521,914.6,457.9,456.7,913.5,457.4,456.1,660,677,645
Granite City High School,Granite City CUSD 9,547,557,538,914,460.9,453.1,914,460.9,453.1,659,661,657
Curie Metropolitan High School,City of Chicago SD 299,548,576,526,913.7,457.6,456.1,956.1,483.7,472.5,406,406,393
Acero Chtr Netrk -  Major Garcia,City of Chicago SD 299,549,521,566,912.6,468,444.6,956.1,483.7,472.5,406,406,393
Round Lake Senior High School,Round Lake CUSD 116,550,549,552,912.3,463,449.3,912.3,463,449.3,662,659,662
Waltonville High School,Waltonville CUSD 1,551,493,595,911.2,475,436.2,911.2,475,436.2,663,625,691
Bremen High School,Bremen CHSD 228,552,559,546,911.1,460.4,450.7,945.2,478.4,466.8,592,596,586
Lanphier High School,Springfield SD 186,553,552,553,911,462,449,953.7,484.4,469.4,565,399,568
Beardstown Jr/Sr High School,Beardstown CUSD 15,554,583,524,910.8,454.5,456.3,910.8,454.5,456.3,664,682,643
Chicago Military Academy HS,City of Chicago SD 299,555,504,588,910.6,471.8,438.8,956.1,483.7,472.5,406,406,393
Hancock College Preparatory HS,City of Chicago SD 299,556,538,563,910.2,464.9,445.2,956.1,483.7,472.5,406,406,393
Noble St Chtr-DRW Trading Col,City of Chicago SD 299,557,538,563,910.1,464.9,445.2,956.1,483.7,472.5,406,406,393
Momence High School,Momence CUSD 1,558,534,574,908.8,465.9,442.9,908.8,465.9,442.9,665,649,675
Larkin High School,SD U-46,559,548,562,908.7,463.1,445.6,979.5,493.2,486.2,321,336,310
V I T Sr High School,V I T CUSD 2,560,513,585,908.6,469.5,439.1,908.6,469.5,439.1,666,638,683
Rantoul Twp High School,Rantoul Township HSD 193,561,585,536,907.5,453.9,453.6,907.5,453.9,453.6,667,683,655
Rushville-Industry High School,Schuyler-Industry CUSD 5,561,563,556,907.5,460,447.5,907.5,460,447.5,667,665,664
Rich Central Campus High School,Rich Twp HSD 227,563,540,575,907.1,464.6,442.5,896.8,459.9,436.9,684,667,688
Spry Community Links High School,City of Chicago SD 299,564,601,508,907,447.9,459.1,956.1,483.7,472.5,406,406,393
DD Eisenhower High Sch (Campus),CHSD 218,565,580,547,906.7,456.5,450.3,947.1,477.7,469.4,586,600,568
Egyptian Sr High School,Egyptian CUSD 5,566,528,584,906.3,466.7,439.6,906.3,466.7,439.6,669,648,682
Hubbard High School,City of Chicago SD 299,567,570,557,906,458.9,447.1,956.1,483.7,472.5,406,406,393
Wayne City High School,Wayne City CUSD 100,568,566,561,905.5,459.7,445.8,905.5,459.7,445.8,670,670,669
East Alton-Wood River High Sch,East Alton-Wood River CHSD 14,569,569,560,905.2,459.1,446,900.9,457.2,443.8,680,679,672
Jefferson High School,Rockford SD 205,570,561,565,905.1,460.3,444.8,942.9,479,464,601,590,600
Washington G High School,City of Chicago SD 299,571,541,581,905,464.5,440.4,956.1,483.7,472.5,406,406,393
Cuba Sr High School,CUSD 3 Fulton County,572,571,559,904.7,458.4,446.3,904.7,458.4,446.3,673,674,668
Bloom Trail High School,Bloom Twp HSD 206,573,551,576,904.3,462.5,441.8,902.3,460.3,442,678,663,676
Harvard High School,Harvard CUSD 50,574,599,533,904.2,449.4,454.9,904.2,449.4,454.9,674,690,650
Century Jr/Sr High School,Century CUSD 100,575,577,558,904,457.3,446.7,904,457.3,446.7,675,678,665
North Greene Jr/Sr High Sch,North Greene CUSD 3,576,562,570,903.7,460.2,443.5,900.4,459.4,441.1,681,671,678
Danville High School,Danville CCSD 118,577,541,587,903.6,464.5,439,903.6,464.5,439,676,654,684
Oakland High School,Oakland CUSD 5,578,587,551,903.2,453.7,449.5,903.2,453.7,449.5,677,685,661
Univ of Chicago Chtr-Woodlawn,City of Chicago SD 299,579,556,577,903,461.3,441.7,956.1,483.7,472.5,406,406,393
Bloom High School,Bloom Twp HSD 206,580,568,573,902.4,459.4,443,902.3,460.3,442,678,663,676
J Sterling Morton West High Sch,J S Morton HSD 201,581,554,585,900.7,461.6,439.1,880.3,447.7,432.6,695,692,695
Rock Island High School,Rock Island SD 41,582,595,555,899.9,451.4,448.5,895,449.5,445.4,687,689,670
Chicago Virtual Charter School,City of Chicago SD 299,583,531,605,898.6,466.5,432.1,956.1,483.7,472.5,406,406,393
Sparta High School,Sparta CUSD 140,583,575,579,898.6,457.8,440.8,898.6,457.8,440.8,682,676,679
Goode STEM Academy HS,City of Chicago SD 299,585,584,568,898.5,454.3,444.2,956.1,483.7,472.5,406,406,393
Virginia Jr/ Sr High School,Virginia CUSD 64,586,589,567,897.8,453.5,444.3,897.8,453.5,444.3,683,687,671
Kelly High School,City of Chicago SD 299,587,621,540,895.5,442.8,452.7,956.1,483.7,472.5,406,406,393
Waukegan High School,Waukegan CUSD 60,588,594,570,895.3,451.9,443.5,894.4,451.4,443,688,688,674
Rich South Campus High School,Rich Twp HSD 227,589,572,600,893.3,458.1,435.3,896.8,459.9,436.9,684,667,688
Lewistown Jr/Sr High School,Lewistown CUSD 97,590,588,593,890.8,453.6,437.2,890.8,453.6,437.2,689,686,687
Peoria High School,Peoria SD 150,591,597,582,890.6,450.5,440,938.8,475.8,463,613,618,608
